termo,frequencia
energia,4157
potencia,1233
geracao,1230
eletrica,1152
controle,1151
desempenho,1135
eficiencia,1064
tambem,1027
atraves,984
calor,947
operacao,942
processo,933
uso,909
meio,896
solar,872
temperatura,869
maior,861
forma,858
producao,804
energetica,777
consumo,765
modelos,757
partir,746
condicoes,735
tempo,733
sendo,724
neste,724
aplicacao,714
pode,672
aumento,672
parametros,665
tensao,662
reducao,650
utilizando,640
propriedades,618
fontes,615
devido,611
alta,606
avaliacao,605
potencial,596
assim,578
deste,576
presente,576
dois,565
aplicacoes,559
cada,558
tipo,558
materiais,551
brasil,548
gas,548
termico,545
obtidos,545
tecnicas,540
capacidade,539
relacao,533
processos,526
carga,526
avaliar,514
podem,509
grande,505
comportamento,503
simulacao,501
utilizacao,495
termica,489
custo,489
rede,487
disso,479
apresenta,476
base,470
durante,465
estudos,464
caracteristicas,456
tres,452
principais,449
valores,447
fim,447
tecnica,442
ate,441
ainda,438
edificacoes,431
estrutura,431
distribuicao,429
renovaveis,425
bem,424
caso,423
efeito,421
influencia,418
corrente,414
duas,404
contexto,401
metodologia,400
energetico,399
otimizacao,397
transferencia,397
tecnologia,397
proposta,395
ambiente,392
serao,391
possivel,388
onde,385
sera,384
modelagem,382
area,379
quanto,379
oleo,377
testes,376
velocidade,375
vez,369
solucao,369
pressao,366
experimentais,357
tecnologias,355
fase,354
tratamento,353
dispositivos,353
campo,352
desta,352
componentes,350
problema,349
and,347
efeitos,345
eletrico,345
melhor,344
baixa,344
celulas,344
fonte,338
tanto,336
utilizado,335
eletricos,335
utilizados,333
fotovoltaicos,331
the,328
setor,327
modo,326
conversor,326
formacao,326
parte,325
tais,324
custos,323
regiao,320
qualidade,319
literatura,316
amostras,316
agua,316
frequencia,315
combustivel,315
considerando,314
menor,312
demanda,310
simulacoes,308
estado,307
analises,307
principal,307
compostos,307
apos,306
realizada,305
outros,305
carbono,304
armazenamento,303
caracterizacao,303
temperaturas,302
desenvolvido,300
nesse,300
experimental,299
sob,299
conversores,298
quais,297
apresentou,296
estrategias,294
degc,294
massa,290
solucoes,290
estabilidade,289
variaveis,288
equipamentos,288
estao,286
valor,286
material,285
apresentaram,284
elementos,284
funcao,284
desenvolver,284
conversao,283
mercado,283
superficie,281
longo,281
industria,279
eolica,279
impacto,278
niveis,276
refrigeracao,275
proposto,275
comparacao,274
anos,274
visando,274
baixo,273
transmissao,272
computacional,272
alternativa,272
entanto,269
ponto,269
taxa,268
enquanto,268
obter,267
concentracao,264
principalmente,264
realizados,263
fluxo,263
construcao,260
eletronica,260
aquecimento,259
ensaios,256
geral,255
baseado,255
maiores,253
diversos,252
realizadas,251
problemas,251
vento,251
crescimento,250
sintese,249
presenca,248
fotovoltaica,247
obtencao,247
total,246
numero,246
nivel,246
destes,246
redes,245
resistencia,245
ciclo,244
apenas,242
natural,241
medicao,241
matriz,240
radiacao,240
desses,240
via,240
apresentam,239
novos,238
perdas,238
dinamica,237
fluido,235
densidade,233
vapor,231
dissertacao,230
quantidade,229
hidrogenio,229
biomassa,229
analisar,227
fatores,227
utilizada,227
novas,226
conjunto,226
estruturas,225
petroleo,225
energias,224
recursos,224
eficiente,222
diversas,221
combustiveis,221
alto,221
media,221
capaz,221
implementacao,221
entrada,221
dessa,220
sido,219
mostraram,219
permite,218
fator,218
porem,217
reduzir,215
areas,214
tese,214
etapa,214
vida,213
nanoparticulas,211
importante,211
aspectos,211
maxima,210
todos,210
processamento,210
viabilidade,210
necessidade,210
saida,210
produtos,209
gases,209
medidas,206
ambientais,205
unidade,205
utilizadas,205
respectivamente,204
abordagem,203
reacao,203
motores,200
real,199
linear,199
engenharia,199
particulas,198
estrategia,196
possui,196
atividade,196
desse,195
pois,195
realizado,194
impactos,194
nesta,193
combustao,193
cenarios,193
usando,193
cargas,193
experimentos,192
tipos,192
atividades,192
variacao,191
compressor,191
quimica,191
motor,191
filmes,191
nacional,190
regime,190
planta,189
nova,189
sul,188
interesse,188
segundo,188
entretanto,187
reacoes,186
soldagem,186
integracao,186
outras,186
espectroscopia,185
carvao,185
busca,185
desenvolvidos,184
fabricacao,184
brasileiro,184
primeira,182
periodo,182
cenario,182
vem,182
projetos,181
segunda,181
equacoes,181
dentro,181
casos,181
usinas,181
serem,181
determinacao,181
atualmente,181
prototipo,181
veiculos,180
possuem,180
escala,180
ambiental,180
portanto,180
dentre,180
alguns,179
outro,179
planejamento,178
solares,178
remocao,178
mecanica,178
fisica,178
quatro,177
escoamento,177
eletricas,176
interacao,176
monitoramento,175
resfriamento,175
grandes,174
alternativas,173
aplicado,173
exemplo,173
laboratorio,172
unidades,172
renovavel,171
emissoes,171
modulos,171
programa,170
seguranca,170
estados,169
importancia,169
referencia,169
transicao,169
termicas,168
maneira,167
etapas,167
final,166
composto,166
primeiro,165
luz,165
medio,165
trocadores,165
acordo,165
etanol,165
visa,164
ordem,164
incluindo,164
amostra,164
plantas,164
compressao,162
global,162
obtidas,162
tamanho,162
tal,162
economica,161
circuitos,161
calculo,161
economia,161
ferramentas,160
compressores,160
menores,159
todas,159
fases,159
elevada,159
baterias,159
realizar,159
mistura,158
circuito,158
grupo,158
protecao,158
sentido,158
superficies,157
emissao,156
degradacao,156
informacoes,156
mudancas,156
menos,156
operando,155
ganho,155
termos,153
aplicada,153
adicao,153
validacao,153
ambos,153
relacionados,153
nuclear,153
grupos,153
convencional,153
eficientes,152
dimensionamento,152
confiabilidade,152
consiste,151
tensoes,151
mecanismos,151
industrial,151
identificar,150
gerador,149
desafios,149
eletricidade,149
avaliados,148
propostas,148
razao,148
microscopia,147
edificacao,147
energy,146
deteccao,146
mesma,146
necessario,146
transporte,146
algoritmo,145
tubos,145
baseada,144
mundo,144
configuracao,144
altas,144
foco,143
funcionamento,143
interna,143
aumentar,143
condicao,143
propoe,142
pais,142
fotovoltaico,142
camada,142
aplicados,142
ferramenta,141
regioes,141
vazao,141
empresas,141
estudar,141
contendo,141
melhorar,140
analisados,140
continua,140
algumas,140
perda,140
padrao,140
volume,140
inversor,140
perfil,139
rendimento,139
contribuir,138
industriais,138
conceitos,138
vista,138
superior,138
possibilidade,137
verificar,137
cccc,137
liquido,137
deve,136
celula,136
previsao,136
teste,136
pesquisas,136
software,135
teor,135
distribuida,135
medicoes,135
elevado,135
reator,135
mostram,134
restricoes,134
simples,134
membranas,134
livre,134
novo,133
diferencas,132
politicas,132
conceito,132
apesar,132
aproximadamente,132
mostrou,132
investigar,132
laser,132
resposta,131
comercial,130
devem,130
serie,130
introducao,129
equipamento,129
apresentados,129
arquitetura,128
indicadores,128
misturas,128
tio,128
ambientes,128
maquinas,128
conhecimento,128
tendo,127
operacionais,127
convencionais,127
pontos,127
dispositivo,127
modulo,127
materia,127
concentracoes,126
variacoes,125
obtida,125
teoria,125
prazo,125
empresa,125
forca,124
realizacao,124
identificacao,124
placas,124
adsorcao,123
crescente,123
absorcao,123
produto,122
atual,122
lado,122
edificios,122
embora,122
determinar,122
todo,122
geradores,122
permitindo,122
ciclos,122
performance,121
taxas,121
metodologias,121
recuperacao,121
destas,121
local,121
faixa,121
papel,121
variavel,120
composicao,120
coeficiente,120
falhas,120
manutencao,120
garantir,120
ondas,120
power,120
fundamental,120
extracao,120
desenvolvida,120
bancada,119
trabalhos,119
microrredes,119
comerciais,119
plasma,118
desde,118
equacao,118
difusao,118
secagem,118
condicionamento,117
paises,117
inversores,117
linha,117
acido,117
horas,116
ultimos,116
equilibrio,116
vantagens,116
moleculas,116
brasileira,116
intuito,115
equipe,115
movimento,115
estagio,115
maquina,115
dessas,115
especialmente,115
baixas,114
vezes,114
numerica,114
onda,114
baseados,114
funcoes,114
observouse,114
frente,114
esforcos,114
disponiveis,114
gerenciamento,114
seguida,114
varredura,113
constante,113
investigacao,113
comparados,113
gerar,113
alimentacao,113
computacionais,113
capazes,113
topologia,112
diesel,112
insercao,112
fato,112
eou,111
avaliadas,111
eventos,111
diretamente,111
diminuicao,111
termicos,111
contribuicao,111
campos,110
polimeros,110
linhas,110
util,110
reais,109
varios,109
suporte,109
significativa,109
ocorre,109
utiliza,108
natureza,108
especificos,108
importantes,108
solo,107
residuos,107
tubo,107
presentes,107
existentes,106
